num_agents,edge_density,graph_type,dsan_temperature,num_actions,num_iterations,cost_range,y
25,0.25,complete,5.0,4,200,4,1.7999999999999998
90,0.25,barabasi_albert,2.0,2,50,101,33.871212121212125
90,0.1,barabasi_albert,10.0,7,100,501,108.09803921568628
50,0.1,erdos_renyi,5.0,9,500,11,4.70038087177317
100,0.75,barabasi_albert,10.0,8,1000,11,4.891156462585034
90,0.9,complete,0.75,3,200,501,232.34563448020717
50,0.99,complete,1.0,7,100,101,46.382563256325625
10,0.25,barabasi_albert,0.75,4,200,4,1.1666666666666667
100,0.25,barabasi_albert,0.75,3,1000,4,1.4625850340136057
25,0.75,barabasi_albert,0.75,7,1000,101,29.127450980392155
25,0.5,erdos_renyi,0.75,6,500,501,195.4218742562904
50,0.9,barabasi_albert,10.0,3,1000,11,4.7519379844961245
100,0.99,barabasi_albert,0.75,7,50,501,195.76116838487974
100,0.9,complete,10.0,9,1000,51,24.19034792368126
50,0.9,erdos_renyi,5.0,7,50,4,1.93341518351753
10,0.99,barabasi_albert,5.0,3,50,4,1.6444444444444446
25,0.25,barabasi_albert,1.0,6,200,51,11.818181818181818
10,0.99,erdos_renyi,2.0,8,500,101,37.1219638242894
75,0.5,erdos_renyi,2.0,2,1000,11,5.061600302563897
75,0.75,barabasi_albert,5.0,6,500,51,18.67584097859327
90,0.1,erdos_renyi,5.0,7,1000,501,204.7684950786238
75,0.99,barabasi_albert,10.0,5,500,101,36.53703703703704
25,0.25,erdos_renyi,2.0,8,100,501,191.03066748309345
100,0.25,barabasi_albert,10.0,9,1000,4,1.7142857142857142
25,0.25,barabasi_albert,2.0,4,100,11,3.393939393939394
10,0.9,barabasi_albert,1.0,5,100,101,29.78571428571429
100,0.9,barabasi_albert,0.75,6,50,4,1.7803030303030303
90,0.5,erdos_renyi,1.0,4,500,51,22.98425984949158
25,0.5,barabasi_albert,0.75,9,500,11,3.6376811594202896
50,0.25,barabasi_albert,10.0,9,1000,501,109.30555555555556
75,0.1,complete,5.0,6,200,101,39.67509025270758
25,0.1,erdos_renyi,2.0,7,100,101,27.55860805860806
90,0.9,erdos_renyi,1.0,5,500,501,233.23301486344508
10,0.75,complete,5.0,10,1000,501,163.23232323232324
90,0.1,complete,10.0,7,500,4,1.9133333333333333
75,0.1,erdos_renyi,2.0,3,1000,101,38.66909303827013
50,0.99,barabasi_albert,1.0,9,1000,11,4.291228070175439
25,0.75,barabasi_albert,0.75,3,50,4,1.4411764705882355
10,0.1,complete,5.0,8,200,51,9.75
50,0.99,erdos_renyi,1.0,8,100,101,46.942091814210784
100,0.9,complete,0.75,8,200,501,237.2249158249158
25,0.5,complete,0.75,2,200,4,1.7644444444444443
100,0.5,complete,10.0,8,200,11,5.252794612794613
50,0.1,complete,10.0,7,500,501,181.11748633879782
100,0.25,complete,0.75,2,100,11,5.036917272972245
50,0.9,complete,1.0,8,50,51,23.578644888082277
75,0.1,erdos_renyi,1.0,7,100,51,19.738420632650016
10,0.9,barabasi_albert,5.0,6,200,101,28.0
100,0.75,complete,0.75,8,50,11,5.243085488505748
100,0.25,barabasi_albert,10.0,6,50,4,1.8435374149659864
100,0.1,barabasi_albert,2.0,6,500,4,1.5789473684210524
50,0.5,erdos_renyi,0.75,10,500,11,5.0294157633469245
100,0.1,complete,5.0,5,1000,11,4.7629629629629635
100,0.1,erdos_renyi,2.0,7,200,4,1.8696795121209713
90,0.99,erdos_renyi,10.0,9,200,51,24.227990218992918
75,0.99,barabasi_albert,5.0,4,200,11,4.689814814814814
100,0.9,complete,1.0,10,100,51,24.403666292555183
90,0.99,barabasi_albert,10.0,5,500,501,177.58237547892722
50,0.5,complete,10.0,2,1000,51,22.992919389978212
25,0.9,erdos_renyi,0.75,7,200,101,44.21394067920384
100,0.5,erdos_renyi,0.75,2,200,51,23.985711183237573
75,0.5,erdos_renyi,2.0,6,200,4,1.896609741977554
90,0.99,barabasi_albert,10.0,2,200,101,39.808429118773944
100,0.1,barabasi_albert,10.0,10,500,51,16.29824561403509
10,0.5,complete,10.0,3,200,51,17.09090909090909
100,0.1,barabasi_albert,1.0,6,500,101,23.68421052631579
100,0.9,complete,10.0,2,100,4,1.9503928170594838
10,0.75,erdos_renyi,1.0,8,500,51,16.387688919267866
90,0.75,complete,10.0,7,1000,4,1.9552669552669553
10,0.75,barabasi_albert,5.0,8,1000,4,1.5555555555555554
25,0.9,erdos_renyi,10.0,3,50,4,1.9205149082715625
100,0.99,erdos_renyi,10.0,9,100,4,1.9688554527443405
75,0.75,barabasi_albert,10.0,7,1000,101,38.149847094801224
100,0.1,erdos_renyi,2.0,4,1000,101,38.64582601302914
100,0.75,erdos_renyi,2.0,9,200,101,47.88750756543033
100,0.5,complete,0.75,6,500,4,1.8878114478114478
25,0.75,complete,10.0,9,1000,4,1.882962962962963
100,0.5,complete,10.0,9,50,51,24.035824915824914
10,0.99,barabasi_albert,2.0,9,500,501,154.86666666666667
10,0.25,complete,0.75,8,200,101,22.818181818181817
50,0.25,complete,10.0,10,1000,501,209.99346405228758
100,0.99,complete,2.0,5,500,501,234.8131972789116
100,0.1,complete,1.0,8,500,501,209.47205387205386
50,0.9,barabasi_albert,2.0,6,1000,4,1.7558139534883723
25,0.99,erdos_renyi,10.0,6,50,501,217.81590701948645
10,0.5,erdos_renyi,5.0,4,100,4,1.6858256477821696
50,0.5,complete,2.0,9,200,4,1.860021786492375
50,0.99,erdos_renyi,10.0,9,100,4,1.954294094810501
100,0.5,barabasi_albert,10.0,3,50,4,1.8911564625850341
90,0.1,barabasi_albert,5.0,9,50,101,30.84313725490196
50,0.25,barabasi_albert,10.0,6,1000,4,1.7083333333333333
50,0.5,barabasi_albert,10.0,10,500,11,4.548611111111112
75,0.75,erdos_renyi,10.0,4,100,51,23.138576901126914
50,0.75,erdos_renyi,5.0,7,200,501,227.91716353980925
25,0.99,erdos_renyi,2.0,6,1000,11,4.73401613734947
75,0.1,barabasi_albert,5.0,4,500,11,3.8333333333333335
100,0.5,erdos_renyi,5.0,7,200,4,1.947396856320533
10,0.99,barabasi_albert,2.0,5,200,501,153.82222222222222
