num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
100,0.9,erdos_renyi,0.5,7,1000,501,245.17188489311488
50,0.75,erdos_renyi,0.75,5,500,51,24.12696682043497
100,0.75,erdos_renyi,0.25,6,500,11,5.399617328004908
50,0.5,erdos_renyi,0.1,3,50,11,5.469904897100823
90,0.25,erdos_renyi,0.1,6,200,51,24.783625053712743
90,0.99,complete,0.99,2,1000,101,47.72258661284898
10,0.25,barabasi_albert,0.25,2,100,51,16.833333333333332
10,0.1,erdos_renyi,0.99,5,1000,101,24.044444444444448
100,0.25,erdos_renyi,0.75,5,500,4,1.9029983009386768
10,0.25,erdos_renyi,0.5,8,50,4,1.571789321789322
75,0.1,barabasi_albert,0.75,7,1000,51,14.476190476190476
100,0.5,barabasi_albert,0.99,10,50,51,21.142857142857142
25,0.75,erdos_renyi,0.99,4,200,51,22.009194462578133
10,0.1,complete,0.99,8,100,51,11.5
10,0.25,complete,0.5,9,1000,11,3.242424242424242
90,0.99,complete,0.1,5,50,51,25.2435250588631
10,0.1,complete,0.5,6,200,11,3.25
50,0.1,barabasi_albert,0.99,7,100,4,1.1481481481481481
25,0.5,barabasi_albert,0.75,8,500,11,3.8695652173913047
90,0.25,barabasi_albert,0.75,2,50,4,1.6818181818181819
100,0.5,barabasi_albert,0.75,10,1000,51,20.738095238095237
25,0.75,complete,0.5,2,1000,51,23.94074074074074
90,0.5,barabasi_albert,0.75,3,500,11,4.21969696969697
100,0.99,complete,0.25,5,200,51,25.004693877551023
50,0.9,erdos_renyi,0.5,2,50,11,5.407905297287123
50,0.99,erdos_renyi,0.75,9,50,101,48.66204005553008
50,0.5,erdos_renyi,0.99,3,1000,51,22.210478268418388
50,0.1,erdos_renyi,0.99,6,50,4,1.5055768326278305
50,0.99,complete,0.25,2,50,4,1.997799779977998
100,0.25,complete,0.99,5,200,51,22.605227701428188
100,0.75,barabasi_albert,0.99,8,500,501,195.7596371882086
100,0.5,barabasi_albert,0.5,8,100,51,21.9421768707483
100,0.99,complete,0.5,9,50,51,25.034625850340138
50,0.99,barabasi_albert,0.75,2,100,11,4.722807017543859
