num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
10,0.1,barabasi_albert,0.99,10,200,501,36.0
50,0.99,barabasi_albert,0.25,10,200,501,213.4
90,0.99,complete,0.1,9,1000,101,49.21190716448032
50,0.75,barabasi_albert,0.25,7,500,51,20.40277777777778
10,0.1,barabasi_albert,0.25,3,50,11,2.0
75,0.1,barabasi_albert,0.99,3,50,11,4.0
50,0.1,barabasi_albert,0.9,4,1000,501,102.11111111111111
50,0.1,complete,0.75,6,50,101,41.032786885245905
50,0.99,complete,0.9,4,100,51,23.301155115511552
100,0.5,barabasi_albert,0.99,8,500,51,17.285714285714285
10,0.25,complete,0.1,7,1000,501,119.27272727272727
75,0.1,complete,0.99,5,50,51,20.750902527075812
90,0.99,barabasi_albert,0.75,6,200,51,20.95977011494253
25,0.1,barabasi_albert,0.25,10,50,51,8.0
75,0.75,complete,0.1,8,100,51,24.74291206150889
100,0.75,barabasi_albert,0.1,5,50,11,5.006802721088436
25,0.9,complete,0.1,2,100,4,1.9481481481481482
100,0.75,complete,0.99,10,50,51,24.525592672413794
75,0.99,complete,0.75,3,1000,11,5.207863123407353
75,0.75,barabasi_albert,0.9,3,200,51,19.192660550458715
10,0.99,complete,0.1,2,1000,4,1.9772727272727273
90,0.99,barabasi_albert,0.25,7,200,501,219.95402298850576
100,0.25,erdos_renyi,0.75,8,50,4,1.8950715421303657
25,0.5,complete,0.99,2,500,51,21.486666666666668
75,0.75,complete,0.1,6,500,501,241.43344545891398
25,0.25,barabasi_albert,0.25,10,1000,11,2.909090909090909
90,0.25,barabasi_albert,0.1,3,200,11,4.840909090909091
25,0.25,complete,0.25,6,1000,501,195.84
50,0.1,barabasi_albert,0.5,6,200,51,6.888888888888889
90,0.25,barabasi_albert,0.75,8,500,501,168.70454545454547
10,0.1,complete,0.75,4,50,51,9.0
75,0.99,barabasi_albert,0.75,2,50,11,4.479166666666667
